ID,Name,Host ID,Host Name,Host Since,Host Location,Host Response Time,Host Response Rate,Host Acceptance Rate,Host Is Superhost,Host Listings Count,Host Has Profile Pic,Host Identity Verified,City,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Bed Type,Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Number Of Reviews,First Review,Last Review,Instant Bookable,Cancellation Policy,Reviews Per Month,City Bins,superhost_Yes,verified_Yes,property_Apartment,property_Bed & Breakfast,property_Boat,property_Condominium,property_House,property_Loft,property_Townhouse,property_Villa,room_Entire home/apt,room_Private room,room_Shared room,bed_Airbed,bed_Couch,bed_Futon,bed_Pull-out Sofa,bed_Real Bed,instabook_Yes,cancel_flexible,cancel_moderate,cancel_strict,cancel_super_strict_30,citybins_Boston,citybins_Brookline,citybins_Cambridge,citybins_Charlestown,citybins_Jamaica Plain,citybins_Other,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Checkin,Review Scores Communication,Review Scores Location,Review Scores Value,Guests Not Included,Guests per Bed,Accommodates per Bathroom
11159585,Mark P.Coleman,57514323,Mark,2/4/2019,"Boston, Massachusetts, United States",within a few hours,1.0,1.0,No,1,Yes,Yes,Boston,House,Private room,2,3.5,1.0,2.0,Real Bed,125.0,100.0,0.0,1,25,2,1,4/19/2019,4/19/2019,No,flexible,0.21,Boston,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,10.0,10.0,10.0,10.0,9.999999999999998,10.0,10.0,1,0.5,0.5714285714285714
13190410,Recently Renovated duplex with outdoor s,60375320,David,2/24/2019,"Natick, Massachusetts, United States",within an hour,1.0,1.0,No,2,Yes,No,Boston,Townhouse,Entire home/apt,14,2.0,5.0,8.0,Real Bed,299.0,350.0,120.0,8,15,1,4,5/27/2019,8/7/2019,No,strict,1.15,Boston,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,10.0,10.0,10.0,10.0,9.999999999999998,10.0,8.875,6,1.0,7.0
12618291,Historic Single Family Victorian!,68502098,Kristen,4/23/2019,"Boston, Massachusetts, United States",within a few hours,1.0,0.5,No,1,Yes,Yes,Boston,House,Entire home/apt,6,1.5,5.0,5.0,Real Bed,300.0,500.0,75.0,1,0,3,3,7/6/2019,8/21/2019,No,strict,1.41,Boston,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,10.0,8.875,10.0,10.0,9.999999999999998,10.0,10.0,5,0.2,4.0
561769,The Sky View | 2BR 1BA | 3rd Floor,71783,Lance,1/18/2013,"Boston, Massachusetts, United States",within a day,0.73,0.91,No,10,Yes,Yes,Boston,Apartment,Entire home/apt,6,1.0,2.0,4.0,Real Bed,142.0,500.0,150.0,2,10,2,4,8/20/2015,7/29/2019,No,strict,0.08,Boston,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,8.537500000000001,10.0,10.0,7.75,9.999999999999998,8.875,8.875,4,0.5,6.0
6695,$125 Special!! Home Away! Condo,8229,Terry,2/19/2012,"Boston, Massachusetts, United States",within a day,1.0,0.9,No,7,Yes,Yes,Boston,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,195.0,0.0,70.0,2,8,3,47,8/5/2012,5/26/2019,No,strict,0.54,Boston,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,9.4375,8.875,10.0,10.0,9.999999999999998,7.75,8.875,2,1.0,4.0
13614982,Adorable 1Bd Apt in Busy Back Bay,58356283,Sophia,2/10/2019,"Boston, Massachusetts, United States",within a few hours,0.9,1.0,No,1,Yes,Yes,Boston,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,225.0,95.0,25.0,2,25,1,7,7/12/2019,9/3/2019,No,strict,3.62,Boston,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,8.9875,8.875,6.625,8.875,8.5,10.0,8.875,2,1.0,4.0
6317446,Brand New 2 BR | 1 BA in So. BOS #2,9410008,Jason,10/12/2016,"Boston, Massachusetts, United States",within an hour,1.0,0.99,Yes,15,Yes,Yes,Boston,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,245.0,400.0,125.0,3,25,2,47,6/5/2018,7/30/2019,Yes,strict,3.07,Boston,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,9.6625,10.0,10.0,10.0,9.999999999999998,8.875,8.875,1,1.5,4.0
180914,Furnished 1BR - Landmark Square,25188,Seamless,7/9/2012,US,within a few hours,0.89,0.45,No,558,Yes,Yes,Boston,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,249.0,0.0,150.0,1,0,3,2,10/17/2015,2/9/2016,No,super_strict_30,0.04,Boston,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,7.525,7.75,7.75,5.5,7.0,8.875,6.625,2,1.0,3.0
2549840,Marvelous South End 2.5 bed/ 2.5 ba,814298,Brent,7/12/2014,"Boston, Massachusetts, United States",within a few hours,0.98,0.66,No,22,Yes,Yes,Boston,Apartment,Entire home/apt,8,2.5,3.0,4.0,Real Bed,417.0,500.0,135.0,1,0,4,39,3/24/2017,8/21/2019,No,strict,1.3,Boston,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,8.875,10.0,8.875,8.875,8.5,8.875,8.875,7,0.25,3.2
1868513,Lux 1BR in Post-War Back Bay bldg,9419684,Mike,10/13/2016,"New York, New York, United States",within a few hours,0.96,0.68,No,313,Yes,Yes,Boston,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,298.0,0.0,100.0,1,0,3,6,5/16/2017,1/5/2018,No,moderate,0.21,Boston,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,8.875,8.875,8.875,7.75,8.5,10.0,8.875,2,0.5,3.0
